"V2" "V3" "V4"
"HMEL011436" 9 14 5
"HMEL004897" 98 595 602
"HMEL009815g1" 152 408 719
"HMEL012885g1" 53 255 397
"HMEL011301g1" 0 7 2
"HMEL010149g1" 1391 9086 11190
"HMEL010005g1" 82 267 303
"HMEL006371g1" 80 368 381
"HMEL036463g1" 0 5 3
"HMEL035167g1" 578 2439 2685
"HMEL035023g1" 127 380 215
"HMEL006371g2" 1 15 11
"HMEL012938g1" 112 312 245
"HMEL007864g1" 104 335 273
"HMEL007720g1" 10 53 41
"HMEL006568g1" 119 298 253
"HMEL005128g1" 35 145 138
"HMEL037956g1" 160 708 674
"HMEL037812g1" 742 2747 1321
"HMEL021227g1" 0 0 0
"HMEL010170g1" 137 699 345
"HMEL005128g2" 51 269 268
"HMEL033072g1" 314 1162 1112
"HMEL004473g1" 49 195 202
"HMEL003177g1" 0 1 0
"HMEL035861g1" 0 0 4
"HMEL034565g1" 0 1 0
"HMEL034421g1" 3609 9077 5533
"HMEL033269g1" 1 1 0
"HMEL033125g1" 2 23 28
"HMEL031009g1" 3 22 6
"HMEL021392g1" 11 54 62
"HMEL020096g1" 42 151 240
"HMEL004473g2" 0 10 5
"HMEL003177g2" 45 252 183
"HMEL004473g3" 0 0 2
"HMEL004473g4" 28 114 96
"HMEL005822g1" 0 0 4
"HMEL035914g1" 0 0 0
"HMEL005822g2" 1 0 0
"HMEL032470g1" 95 278 281
"HMEL031174g1" 2424 6942 5154
"HMEL031030g1" 5 111 8
"HMEL016900g1" 302 1484 1570
"HMEL014308g1" 43 193 670
"HMEL009234g1" 2 2 7
"HmGr20_1" 1 2 0
"HMEL033963g1" 3 16 12
"HMEL032667g1" 0 0 10
"HMEL032523g1" 100 210 143
"HMEL031227g1" 0 0 0
"HMEL030407g1" 0 0 0
"HMEL020790g1" 79 337 400
"HMEL014473g1" 294 3508 665
"HMEL012357g1" 21 50 41
"HMEL007283g1" 7 24 8
"HMEL037375g1" 0 0 9
"HMEL037231g1" 0 3 1
"HMEL036079g1" 6 7 0
"HMEL030572g1" 0 0 1
"HMEL008776g1" 40 193 149
"HMEL008632g1" 0 0 0
"HMEL036608g1" 0 0 0
"HMEL031921g1" 8 4 2
"HMEL030769g1" 59 255 214
"HMEL030625g1" 0 0 0
"HMEL011082g1" 80 578 529
"HMEL035280g1" 58 233 250
"HMEL017118g1" 39 217 264
"HMEL011755g1" 7 26 12
"HMEL005241g1" 2 10 6
"HMEL005385g1" 310 832 596
"HMEL004089g1" 29 57 10
"HMEL036773g1" 0 0 0
"HMEL035477g1" 0 5 14
"HMEL035333g1" 2 25 45
"HMEL034037g1" 0 0 0
"HMEL011755g2" 0 0 0
"HMEL006878g1" 11 15 39
"HMEL036826g1" 0 0 2
"HMEL017283g1" 14 57 56
"HMEL033382g1" 13 56 176
"HMEL032086g1" 0 0 0
"HMEL017283g2" 4 36 18
"HMEL017283g3" 286 791 762
"HMEL012765" 424 2216 2182
"HMEL016516g1" 0 0 0
"HMEL003343g1" 35 104 88
"HMEL034875g1" 81 171 144
"HMEL034731g1" 0 0 1
"HMEL033579g1" 0 2 4
"HMEL033435g1" 0 0 0
"HMEL032139g1" 8 60 48
"HMEL031319g1" 0 0 3
"HMEL038090g1" 59 291 267
"HMEL021611g1" 160 394 319
"HMEL016681g1" 568 2406 2178
"HMEL015385g1" 7 38 35
"HMEL015241g1" 188 487 498
"HMEL014565g1" 117 398 538
"HMEL013269g1" 0 0 2
"HMEL013125g1" 180 880 687
"HMEL008195g1" 1058 2529 2436
"HMEL038143g1" 0 0 0
"HMEL032780g1" 16 29 19
"HMEL031484g1" 0 0 0
"HMEL031340g1" 54 228 190
"HMEL030188g1" 199 838 613
"HMEL030044g1" 2 4 9
"HMEL014618g1" 63 318 427
"HMEL009688g1" 148 481 504
"HMEL009544g1" 1521 3863 3660
"HMEL008248g1" 12 71 59
"HMEL008104g1" 60 360 264
"HMEL032977g1" 5 19 25
"HMEL032833g1" 97 378 392
"HMEL031537g1" 27 57 50
"HMEL030717g1" 0 8 3
"HMEL025023g1" 171 648 715
"HMEL014618g2" 29 132 111
"HMEL008104g2" 118 369 371
