type,cross,brood,data_set,cam_id,insectary_id,meni,viti,total_eggs,dissection
F1,CPxMP,c1,PHD,13016,4,16,3,19,N
F2,CPxMP,c1,PHD,13014,5,28,2,30,N
F3,CPxMP,c1,PHD,13015,7,0,0,0,N
F4,CPxMP,c1,PHD,13017,10,19,0,19,N
F5,CPxMP,c1,PHD,13020,11,23,11,34,N
F6,CPxMP,c1,PHD,13022,20,19,15,34,N
F7,CPxMP,c1,PHD,13021,21,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13164,254,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13166,263,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13168,255,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13169,253,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13203,286,18,6,24,N
BC,CPX(CPXMP),C10,PHD,13273,397,30,4,34,N
BC,CPX(CPXMP),C10,PHD,13285,411,0,0,0,N
BC,CPX(CPXMP),C10,PHD,13323,423,23,0,23,N
BC,CPX(CPXMP),C10,PHD,13353,471,0,0,0,N
BC,CPX(CPXMP),C11,PHD,13204,296,0,0,0,N
BC,CPX(CPXMP),C11,PHD,13239,314,17,0,17,N
BC,CPX(CPXMP),C14,PHD,13244,323,22,13,35,N
BC,CPX(CPXMP),C14,PHD,13251,307,5,5,10,N
BC,CPX(CPXMP),C18,PHD,13263,375,23,15,38,N
BC,CPX(CPXMP),C18,PHD,13265,374,5,4,9,N
BC,CPX(CPXMP),C18,PHD,13272,376,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13281,393,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13303,430,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13324,444,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13325,427,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13326,454,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13331,456,0,0,0,N
BC,CPX(CPXMP),C18,PHD,13339,484,27,0,27,N
BC,CPX(CPXMP),C18,PHD,13340,465,21,0,21,N
BC,CPX(CPXMP),C18,PHD,13344,481,0,0,0,N
BC,CPX(CPXMP),C21,PHD,13364,487,9,1,10,N
BC,CPX(CPXMP),C24,PHD,13359,542,21,0,21,N
BM,MPx(CPxMP),c4,PHD,13042,88,29,0,29,N
BM,MPx(CPxMP),c4,PHD,13082,124,19,0,19,N
BM,MPx(CPxMP),c4,PHD,13112,175,24,0,24,N
BM,MPx(CPxMP),c5,PHD,13090,136,18,0,18,N
BM,MPx(CPxMP),c5,PHD,13092,168,16,0,16,N
BM,MPx(CPxMP),c5,PHD,13113,183,10,0,10,N
F8,CPxMP,c6,PHD,13117,116,50,0,50,N
F9,CPxMP,c6,PHD,13114,126,9,0,9,N
F10,CPxMP,c6,PHD,13098,132,13,0,13,N
F11,CPxMP,c6,PHD,13116,134,3,0,3,N
F12,CPxMP,c6,PHD,13123,155,2,0,2,N
F13,CPxMP,c6,PHD,13143,205,0,0,0,N
F14,CPxMP,c6,PHD,13125,206,3,0,3,N
F15,CPxMP,c6,PHD,13137,210,3,0,3,N
F16,CPxMP,c6,PHD,13139,215,0,0,0,N
F17,CPxMP,c6,PHD,13141,220,0,0,0,N
F18,CPxMP,c6,PHD,13142,229,0,0,0,N
F19,CPxMP,c6,PHD,13138,232,0,0,0,N
F1,CPxMP,c6,PHD,13081,125,21,0,21,N
BC,CPX(CPXMP),C8,PHD,13157,275,18,11,29,N
BC,CPX(CPXMP),C8,PHD,13161,267,22,7,29,N
BC,CPX(CPXMP),C8,PHD,13167,293,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13219,287,24,5,29,N
BC,CPX(CPXMP),C8,PHD,13233,305,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13237,320,14,0,14,N
BC,CPX(CPXMP),C8,PHD,13241,312,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13245,326,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13258,321,8,2,10,N
BC,CPX(CPXMP),C8,PHD,13259,330,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13262,378,0,0,0,N
BC,CPX(CPXMP),C8,PHD,13264,382,24,9,33,N
BC,CPX(CPXMP),C8,PHD,13271,383,0,0,0,N
BC,CPx(CPxMP),C8,PHD,NA,326a,25,14,39,N
BC,CPx(CPxMP),E2,TIM,20336,2012_166 ,0,0,0,N
BC,CPx(CPxMP),E4,TIM,20379,2012_182,0,0,0,N
BC,CPx(CPxMP),E5,TIM,20401,2012_201,0,0,0,N
BC,CPx(CPxMP),H5,TIM,20746,2013_596,30,9,39,N
BC,CPx(CPxMP),H5,TIM,20758,2013_607,5,2,7,N
BC,CPx(CPxMP),N10,RACHEL,25140,529,0,0,0,N
BC,CPx(CPxMP),N10,RACHEL,25160,533,8,6,14,Y
BC,CPx(CPxMP),N10,RACHEL,25208,612,19,1,20,Y
BC,CPx(CPxMP),N10,RACHEL,25210,637,4,1,5,Y
BC,CPx(CPxMP),N10,RACHEL,25211,611,41,29,70,Y
BC,CPx(CPxMP),N10,RACHEL,25215,657,0,0,0,Y
BC,CPx(CPxMP),N12,RACHEL,25207,594,41,9,50,Y
BC,CPx(CPxMP),N12,RACHEL,25209,670,9,4,13,Y
BC,CPx(CPxMP),N12,RACHEL,25501,753,34,2,36,Y
BC,CPx(CPxMP),N14,RACHEL,25267,714,22,6,28,Y
BC,CPx(CPxMP),N14,RACHEL,25269,715,1,0,1,Y
BC,CPx(CPxMP),N14,RACHEL,25301,710,0,0,0,Y
BC,CPx(CPxMP),N14,RACHEL,25344,742,0,0,0,Y
BC,CPx(CPxMP),N14,RACHEL,25353,751,18,21,39,Y
BC,CPx(CPxMP),N14,RACHEL,25502,768,0,0,0,N
BC,CPx(CPxMP),N14,RACHEL,25504,771,1,0,1,Y
BC,CPx(CPxMP),N15,RACHEL,25266,692,23,10,33,Y
BC,CPx(CPxMP),N15,RACHEL,25268,713,22,28,50,Y
BC,CPx(CPxMP),N15,RACHEL,25503,791,19,21,40,Y
BC,CPx(CPxMP),N15,RACHEL,25505,794,2,0,2,Y
BC,CPx(CPxMP),N15,RACHEL,25506,776,17,2,19,N
BC,CPx(CPxMP),N15,RACHEL,25507,793,0,0,0,Y
BC,CPx(CPxMP),N15,RACHEL,25508,801,34,12,46,Y
BC,CPx(CPxMP),N15,RACHEL,25509,797,0,0,0,Y
BC,CPx(CPxMP),N15,RACHEL,25510,817,0,0,0,N
BC,CPx(CPxMP),N15,RACHEL,25511,819,0,0,0,N
BC,CPx(CPxMP),N15,RACHEL,25512,821,0,0,0,N
BC,CPx(CPxMP),N17,RACHEL,25309,732,1,0,1,Y
BC,CPx(CPxMP),N17,RACHEL,25377,769,6,0,6,Y
BC,CPx(CPxMP),N2,RACHEL,25088,337,9,24,33,Y
BC,CPx(CPxMP),N2,RACHEL,25089,291,0,0,0,Y
